PROLIFIC_PID,What is the capital of Finland?,Which of these is landlocked?,King Felipe VI is the monarch for which of these countries?,Which of these countries is NOT on the west coast of Africa?,The origin of the Euphrates river is in which modern day country?,Which of these is the world’s highest Peak?,Which of these countries’ flags is not rectangular?,Which of these countries does NOT cross the Equator?,Which of these countries has a population of over 20 million?,Kuala Lumpur is the capital of which country?,Which of these countries has more cars than people?,Which of these is NOT the name of one of the three major island groups in the Pacific Ocean?,Which of these volcanoes lies on the east coast of Sicily?,Transylvania is a region in which country?,What is the capital of Brazil?,What colour is the star on the flag of Ghana?,Which of these countries does Kazakhstan NOT border?,How many countries are there with the word “Guinea” in their name?,Which of these countries does NOT have a ‘dollar’ as a form of currency?,Which of these rivers does NOT pass through China?,"Tokyo, Osaka and Kyoto are cities in which country?",Which ocean separates the eastern coast of USA and Western Europe?,The Amazon Rainforest is in which continent?,Which of these is NOT a US state?,Poland’s flag has stripes of two colours: white and which colour?,Which of these deserts are in South America?,Madagascar is a country in which continent?,"The Angkor Wat is the largest religious monument in the world, located in which country?",Which of these countries’ flags has a tree?,The 2008 Olympics were held in which country?,Which country has won more FIFA world cups than any other country?,What did Ceylon change its name to in 1972?,What is the capital of Canada?,"To the nearest billion, how large is the world's population?",What is the name of the microstate located between Spain and France?,What is the name of the largest river to flow through Paris?,Constantinople and Byzantium are former names of which major city?,What African country has the largest population?,The Union Jack is the name of the flag of which country?,Christ the Redeemer is a statue in which country?,Score
600964b7ddbcfc3b02f7b2e8,Helsinki,Serbia,Spain,Guinea,Turkey,Everest,Bhutan,Indonesia,Bolivia,Indonesia,Monaco,Melanesia,Etna,Romania,Brasilia,Black,China,3,New Zealand,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Thailand,Lebanon,UK,Brazil,Bangladesh,Ottawa,8 billion,,Seine,Istanbul,Egypt,UK,Brazil,24
5fb16376c19dcc608d026e84,Helsinki,Serbia,,Zambia,Turkey,Everest,Nepal,India,Uruguay,Malaysia,US,Odesia,Etna,Romania,Brasilia,Green,Tajikistan,3,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,China,Brazil,Sri Lanka,Ottawa,9 billion,Andorra,Seine,Istanbul,Nigeria,UK,Brazil,33
58937f718235830001a44873,Helsinki,Poland,Spain,Guinea,,Everest,Nepal,India,Ecuador,Indonesia,US,Odesia,Vesuvius,Romania,Brasilia,Black,China,3,Hong Kong,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Cyprus,China,Brazil,Sri Lanka,Ottawa,7 billion,Andorra,Seine,Athens,Nigeria,UK,Brazil,26
5d2d98a9a0d896001a5d6e4f,Helsinki,Serbia,France,Senegal,UAE,Everest,Sri Lanka,India,,Malaysia,San Marino,Odesia,Etna,Romania,Rio de Janeiro,Green,Uzbekistan,3,Vietnam,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Gobi,Africa,Cambodia,Cyprus,China,France,Bangladesh,Ottawa,8 billion,Liechtenstein,Seine,Istanbul,Nigeria,USA,Brazil,24
60a5e855755632558633e9fb,Copenhagen,Croatia,Spain,Senegal,Afghanistan,K2,Nepal,Indonesia,Peru,Indonesia,US,Micronesia,Milos,Romania,Brasilia,White,Russia,3,Singapore,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Thailand,Cyprus,China,Brazil,Sri Lanka,Ottawa,8 billion,Luxenbourg,Seine,Athens,South Africa,Canada,Brazil,19
60bea3693b52eeee5c93d2b8,Oslo,Poland,Spain,Guinea,Jordan,Lhotse,Nepal,Brazil,Peru,Thailand,San Marino,Melanesia,Milos,Czechia,Brasilia,Gold,Russia,2,Hong Kong,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Laos,New Zealand,China,Germany,Sri Lanka,Quebec,8 billion,Andorra,Rhine,Istanbul,Ghana,UK,Brazil,19
612c4636885d5afe0a5f9f53,Stockholm,Latvia,Spain,Zambia,Jordan,Everest,Bhutan,Kenya,Uruguay,Malaysia,US,Micronesia,Cheviot,Czechia,Rio de Janeiro,Black,China,2,New Zealand,Amur,Japan,Atlantic,South America,Hawaii,Red,Patagonian,Africa,,Lebanon,UK,Brazil,India,Toronto,8 billion,San Marino,Nile,Athens,Nigeria,USA,Brazil,16
5db9af1d515b5e01756f55b8,Helsinki,Serbia,Spain,Zambia,Jordan,Everest,Nepal,Kenya,Ecuador,Malaysia,San Marino,,Etna,Romania,Brasilia,,Russia,3,Hong Kong,Amur,Japan,Atlantic,South America,Newfoundland,Blue,Patagonian,Africa,Laos,South Africa,,Brazil,Sri Lanka,Vancouver,7 billion,Andorra,Seine,Istanbul,Nigeria,USA,Brazil,24
5f5f5c0ab70c7b000ad0d7b7,Copenhagen,Latvia,Italy,Senegal,UAE,Everest,Bhutan,Brazil,Bolivia,Malaysia,San Marino,Odesia,Vesuvius,Albania,Rio de Janeiro,Black,China,2,Hong Kong,Yangtze,Japan,Pacific,Central America,Hawaii,Red,Patagonian,South America,Thailand,New Zealand,China,Brazil,Bangladesh,Toronto,8 billion,Luxenbourg,Nile,Istanbul,Nigeria,UK,Brazil,15
60c101e4634ffb1aa797b924,Copenhagen,Serbia,France,Guinea,Jordan,Everest,Nepal,Brazil,Uruguay,Malaysia,US,Polynesia,Vesuvius,Romania,Brasilia,Gold,Russia,3,Hong Kong,Amur,Japan,Pacific,South America,Newfoundland,Red,Patagonian,Africa,Thailand,Cyprus,UK,Brazil,Sri Lanka,Toronto,7 billion,Andorra,Seine,Kabul,South Africa,UK,Brazil,18
613609a43e0f8272f50c552b,Oslo,Croatia,Italy,Zambia,UAE,Everest,Nepal,Kenya,Ecuador,Indonesia,Monaco,Melanesia,Cheviot,Romania,Rio de Janeiro,White,Uzbekistan,2,Hong Kong,Amur,Japan,Atlantic,South America,Newfoundland,Blue,Patagonian,Africa,Thailand,Lebanon,Australia,France,Sri Lanka,Toronto,9 billion,San Marino,Vienne,Istanbul,Nigeria,France,Brazil,15
5f3c8a006375d854f90d73a7,Helsinki,Serbia,France,Zambia,,Everest,Sri Lanka,Indonesia,Ecuador,Malaysia,US,Odesia,Vesuvius,Romania,Brasilia,Black,China,2,Hong Kong,Amur,Japan,Pacific,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,New Zealand,China,Brazil,Bangladesh,Ottawa,8 billion,Andorra,Seine,Athens,South Africa,UK,Brazil,24
5f4fc6a2277f9b0cdfdb61e1,Helsinki,Latvia,France,Guinea,Jordan,Everest,Bhutan,,Uruguay,Malaysia,US,Polynesia,Vesuvius,Romania,Brasilia,Gold,Tajikistan,2,Hong Kong,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Gobi,Africa,Cambodia,New Zealand,China,Argentina,Sri Lanka,Ottawa,8 billion,San Marino,Seine,Rome,Nigeria,France,,19
60d51a3f5496a458dc0d4716,Helsinki,Poland,Spain,Guinea,Afghanistan,Everest,Bhutan,Indonesia,Ecuador,Philippines,Monaco,Odesia,Vesuvius,Albania,Brasilia,Black,China,2,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Laos,Lebanon,USA,Brazil,Sri Lanka,Ottawa,8 billion,Luxenbourg,Seine,Athens,Nigeria,USA,Brazil,22
5cc888ae085b98001620bf4d,Helsinki,Latvia,Portugal,Senegal,Jordan,Everest,Nepal,Indonesia,Peru,Malaysia,US,Odesia,Vesuvius,Romania,Rio de Janeiro,Black,China,2,Vietnam,Irtysh,Japan,Atlantic,South America,Rhode Island,Red,Great Basin,Africa,,Cyprus,China,Brazil,Sri Lanka,Toronto,8 billion,San Marino,Seine,Istanbul,South Africa,UK,Brazil,22
5f0eaf80c42b540711cc68b0,Helsinki,Latvia,Spain,Zambia,Jordan,K2,Bhutan,India,Ecuador,Malaysia,Monaco,Polynesia,Vesuvius,Romania,Brasilia,Gold,Tajikistan,3,Vietnam,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Gobi,Africa,Thailand,South Africa,Australia,Brazil,Sri Lanka,Quebec,6 billion,Luxenbourg,Vienne,Istanbul,,UK,Canada,19
5eb03bbe9d57e50aca80dd11,Helsinki,Poland,Spain,Zambia,Jordan,Everest,Nepal,Indonesia,Uruguay,Indonesia,Monaco,Odesia,Etna,Romania,Brasilia,Green,China,2,Singapore,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,China,Brazil,Sri Lanka,Toronto,7 billion,Andorra,Seine,Istanbul,South Africa,UK,Brazil,26
60aa4b9356c591511cc09f5f,Helsinki,Serbia,France,Zambia,Afghanistan,Everest,Nepal,Kenya,Uruguay,Malaysia,US,Odesia,Vesuvius,Romania,Brasilia,Black,China,2,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,,Africa,,Lebanon,China,Brazil,,Ottawa,8 billion,San Marino,Seine,Istanbul,Nigeria,,Brazil,26
614f64f9c11bac7b4bb00030,Helsinki,Serbia,Portugal,Senegal,Turkey,Everest,Nepal,Brazil,Bolivia,Indonesia,US,,Etna,Bosnia,Sao Paulo,Gold,Uzbekistan,3,Vietnam,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Great Basin,Africa,Cambodia,,China,Brazil,Bangladesh,Toronto,9 billion,San Marino,Rhine,Rome,Nigeria,Canada,Brazil,18
616ad7ac6299f99ce33cdc78,Copenhagen,Serbia,Italy,Gambia,UAE,Everest,Bangladesh,Indonesia,Uruguay,Malaysia,San Marino,Odesia,Milos,Bosnia,Rio de Janeiro,,Russia,2,Hong Kong,Yangtze,Japan,Atlantic,Central America,Hawaii,Red,Great Basin,South America,Laos,Lebanon,UK,Germany,India,Toronto,8 billion,San Marino,Nile,Rome,Egypt,Canada,Brazil,11
60128528323c742cb9b96310,Helsinki,Poland,Spain,Senegal,Jordan,Everest,Sri Lanka,India,Uruguay,Malaysia,San Marino,Melanesia,Vesuvius,Romania,Brasilia,Black,China,3,Vietnam,Irtysh,Japan,Atlantic,South America,Newfoundland,Blue,Patagonian,Africa,Thailand,New Zealand,China,Brazil,Sri Lanka,Toronto,8 billion,Andorra,Seine,Istanbul,Nigeria,USA,Brazil,25
5fb2f265c927279c34edfe94,Helsinki,Latvia,France,Guinea,Jordan,Everest,Bhutan,India,Ecuador,Philippines,Iceland,Micronesia,Etna,Albania,Brasilia,Gold,China,4,Vietnam,Amur,China,,,,Red,Patagonian,Africa,Thailand,New Zealand,UK,Germany,Bangladesh,Ottawa,8 billion,Luxenbourg,,Istanbul,Nigeria,UK,Brazil,16
5cd674ea0c043900014d1271,Helsinki,Serbia,Portugal,Gambia,Afghanistan,Everest,Bhutan,Kenya,Ecuador,Indonesia,San Marino,Odesia,Etna,Romania,Sao Paulo,Green,China,4,Singapore,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,USA,Brazil,Sri Lanka,Toronto,8 billion,Andorra,,Istanbul,South Africa,UK,Brazil,24
6106f206822c88c0baeced4d,Copenhagen,Serbia,France,Gambia,UAE,Everest,Nepal,India,Uruguay,Philippines,Iceland,Micronesia,Etna,Romania,Rio de Janeiro,Black,China,2,Hong Kong,Amur,Japan,Pacific,South America,,Red,Great Basin,Africa,Cambodia,Cyprus,Australia,Argentina,Pakistan,Toronto,8 billion,Luxenbourg,Seine,Istanbul,South Africa,UK,Brazil,17
610afdfedb8325ac8a155d00,Oslo,Serbia,Spain,Guinea,Turkey,Everest,,Indonesia,Bolivia,Malaysia,San Marino,Odesia,Milos,Romania,Brasilia,Green,China,3,Hong Kong,Amur,Japan,Pacific,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,China,Germany,Pakistan,Ottawa,8 billion,Andorra,Vienne,Istanbul,South Africa,UK,Brazil,24
5c73477642a5070001a2f940,Stockholm,Croatia,Spain,Guinea,UAE,K2,Sri Lanka,India,Peru,Malaysia,Monaco,Odesia,Vesuvius,Romania,Brasilia,Green,China,2,Vietnam,Irtysh,Japan,Pacific,South America,Newfoundland,Red,Gobi,Asia,Cambodia,Lebanon,Australia,Brazil,Pakistan,Toronto,8 billion,Andorra,Seine,Istanbul,Nigeria,USA,Brazil,21
5f6247a964b0fe2746fb33d5,Helsinki,Serbia,Spain,Senegal,Afghanistan,Everest,Nepal,,Bolivia,Malaysia,Monaco,Odesia,Etna,Romania,Rio de Janeiro,Black,China,3,Vietnam,Irtysh,Japan,Atlantic,South America,Rhode Island,Red,Great Basin,Africa,Cambodia,Cyprus,China,France,Sri Lanka,Quebec,7 billion,San Marino,Seine,Istanbul,Nigeria,UK,,23
5ef67f9650e5f6017d1059ea,Helsinki,Serbia,Spain,Zambia,Afghanistan,Everest,Nepal,India,Peru,Malaysia,Monaco,Odesia,Etna,Romania,Brasilia,Gold,Tajikistan,4,Vietnam,Yenisei,Japan,Atlantic,South America,Rhode Island,Red,Patagonian,Africa,Laos,Lebanon,,Brazil,Sri Lanka,Ottawa,8 billion,Andorra,Seine,Istanbul,Nigeria,UK,Brazil,34
61181576fb9a7d8d0639e8e8,Helsinki,Poland,France,Guinea,Jordan,Everest,Bangladesh,,Ecuador,Malaysia,US,Micronesia,Cheviot,,Rio de Janeiro,Green,China,4,Hong Kong,Amur,Japan,Pacific,South America,,Red,,Africa,Thailand,New Zealand,China,France,Sri Lanka,Toronto,7 billion,San Marino,Nile,Rome,Nigeria,Canada,Brazil,12
5f44a14dc9c379248aa705a9,Stockholm,Poland,France,Zambia,Jordan,K2,Bangladesh,Kenya,Ecuador,Indonesia,San Marino,Melanesia,Milos,Romania,Rio de Janeiro,Green,China,2,Hong Kong,Amur,Japan,Pacific,Central America,Newfoundland,Red,Patagonian,Africa,Cambodia,Cyprus,China,Argentina,Pakistan,Quebec,8 billion,Andorra,Rhine,Istanbul,South Africa,UK,Brazil,15
615f050f66a9833400706bbd,Oslo,Serbia,Spain,Zambia,Jordan,Everest,Sri Lanka,Indonesia,Bolivia,Indonesia,Iceland,,Vesuvius,Czechia,Brasilia,Black,China,3,Hong Kong,Yangtze,Japan,Atlantic,South America,Newfoundland,Blue,Gobi,Africa,Cambodia,Cyprus,USA,Brazil,Pakistan,Toronto,8 billion,San Marino,Seine,Istanbul,Nigeria,USA,Brazil,18
5c8fcb13dd3b360015b4dff6,Copenhagen,Serbia,Spain,Senegal,,Everest,,Kenya,Peru,Indonesia,US,,Etna,Romania,Rio de Janeiro,Gold,,2,Hong Kong,Amur,Japan,Atlantic,South America,Hawaii,Red,Patagonian,Africa,,,China,Germany,Sri Lanka,Toronto,8 billion,Andorra,Seine,Athens,South Africa,,Brazil,18
5f072104186c17092d6d0c36,Helsinki,Latvia,Spain,Senegal,Turkey,Everest,Nepal,Brazil,Ecuador,Malaysia,Monaco,Odesia,Vesuvius,Romania,Sao Paulo,Black,Tajikistan,2,Vietnam,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,,Africa,Cambodia,Lebanon,USA,Brazil,Sri Lanka,Ottawa,8 billion,Andorra,Seine,Istanbul,Nigeria,Canada,Brazil,28
614f97bf64cce227b7d28f15,Helsinki,Latvia,Spain,Zambia,UAE,Everest,Nepal,Brazil,Bolivia,Indonesia,Monaco,Melanesia,Vesuvius,Czechia,Sao Paulo,Black,Uzbekistan,3,Vietnam,Amur,Japan,Pacific,South America,Newfoundland,Red,Gobi,Africa,Cambodia,Lebanon,China,France,Sri Lanka,Quebec,8 billion,San Marino,Seine,Rome,Nigeria,UK,Brazil,21
5f8ef8605b479d0cf9480024,Helsinki,Serbia,Spain,Guinea,Jordan,K2,Nepal,Indonesia,Ecuador,Malaysia,Iceland,Melanesia,Etna,Romania,Brasilia,Green,China,2,Hong Kong,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,South America,Laos,Lebanon,China,Brazil,Sri Lanka,Ottawa,8 billion,Andorra,Seine,Istanbul,South Africa,UK,Brazil,25
5ff2ec4fb890b131e5bdce6e,Helsinki,Serbia,Portugal,Zambia,UAE,Everest,Bhutan,Kenya,Peru,Thailand,Iceland,Odesia,Etna,Romania,Rio de Janeiro,Gold,China,1,Hong Kong,Amur,Japan,Atlantic,South America,Hawaii,Red,Great Basin,Africa,Mongolia,Lebanon,China,Brazil,Bangladesh,Vancouver,8 billion,Luxenbourg,Vienne,Istanbul,South Africa,UK,Argentina,19
5c55c7cb9b583c000159f790,Helsinki,Croatia,Portugal,Senegal,Turkey,Everest,Nepal,,Ecuador,Indonesia,US,Odesia,Etna,Bosnia,Rio de Janeiro,,China,2,Vietnam,Irtysh,,Atlantic,Asia,Newfoundland,Red,Great Basin,Asia,Mongolia,New Zealand,Australia,Germany,Sri Lanka,Vancouver,9 billion,Liechtenstein,Seine,,Nigeria,USA,Brazil,14
60ff0dff3bfdc170dd38b34f,Helsinki,Poland,Spain,Zambia,Jordan,K2,Nepal,Kenya,Peru,Thailand,US,Micronesia,Etna,Romania,Sao Paulo,White,China,3,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,China,Brazil,Sri Lanka,Toronto,8 billion,Andorra,Seine,Istanbul,Nigeria,UK,Argentina,26
5fbf8fd266afa029fc3841e6,Helsinki,Croatia,Spain,Guinea,UAE,K2,Sri Lanka,India,Uruguay,Thailand,Monaco,Odesia,Vesuvius,Czechia,Brasilia,Gold,China,2,Hong Kong,Yangtze,Japan,Atlantic,South America,Newfoundland,Red,Gobi,Africa,Laos,Lebanon,USA,Germany,Sri Lanka,Vancouver,8 billion,San Marino,Vienne,Rome,Egypt,UK,Brazil,16
611ceaa4d48088cf9fda1dbc,Helsinki,Croatia,Portugal,Gambia,Turkey,Everest,Sri Lanka,,Uruguay,Malaysia,Iceland,Odesia,Etna,Romania,Rio de Janeiro,White,China,1,Vietnam,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Laos,Lebanon,China,Argentina,Sri Lanka,Toronto,8 billion,Andorra,Seine,Istanbul,South Africa,Canada,Brazil,23
60526ca52273fdff8fc728ea,Helsinki,Croatia,Italy,Guinea,Jordan,Everest,Nepal,Indonesia,Bolivia,Malaysia,Monaco,Odesia,Etna,Romania,Rio de Janeiro,Gold,China,4,Vietnam,Amur,Japan,Atlantic,South America,Alaska,Red,Patagonian,Africa,Cambodia,South Africa,China,Brazil,Sri Lanka,Ottawa,8 billion,,Seine,Istanbul,Nigeria,USA,Argentina,24
