Author,Title,Publication Title,Abstract Note,Publication Year,Vignettes?,Diagnosis Scenario/Methodology Type,Confidence/Calibration Measure,Fixed Information?,Information Stages?,Information Seeking as a DV? (Binary or Continuous),Novices and Experts?,Experience as an IV/DV?,Multiple Differentials as DV?,Case Complexity?,Medical Discipline,Any IDs?,Experience Level,Experience Mix,Sample Size,Acute vs Elective,Finding Category,Notes,Finding
"Mamede, S.; Zandbergen, A.; De Carvalho-Filho, M.A.; Choi, G.; Goeijenbier, M.; Van Ginkel, J.; Zwaan, L.; Paas, F.; Schmidt, H.G.",Role of knowledge and reasoning processes as predictors of resident physicians' susceptibility to anchoring bias in diagnostic reasoning: A randomised controlled experiment,BMJ Quality and Safety,"Background: Diagnostic errors have been attributed to reasoning flaws caused by cognitive biases. While experiments have shown bias to cause errors, physicians of similar expertise differed in susceptibility to bias. Resisting bias is often said to depend on engaging analytical reasoning, disregarding the influence of knowledge. We examined the role of knowledge and reasoning mode, indicated by diagnosis time and confidence, as predictors of susceptibility to anchoring bias. Anchoring bias occurs when physicians stick to an incorrect diagnosis triggered by early salient distracting features (SDF) despite subsequent conflicting information. Methods: Sixty-eight internal medicine residents from two Dutch university hospitals participated in a two-phase experiment. Phase 1: assessment of knowledge of discriminating features (ie, clinical findings that discriminate between lookalike diseases) for six diseases. Phase 2 (1 week later): diagnosis of six cases of these diseases. Each case had two versions differing exclusively in the presence/absence of SDF. Each participant diagnosed three cases with SDF (SDF+) and three without (SDF-). Participants were randomly allocated to case versions. Based on phase 1 assessment, participants were split into higher knowledge or lower knowledge groups. Main outcome measurements: frequency of diagnoses associated with SDF; time to diagnose; and confidence in diagnosis. Results: While both knowledge groups performed similarly on SDF- cases, higher knowledge physicians succumbed to anchoring bias less frequently than their lower knowledge counterparts on SDF+ cases (p=0.02). Overall, physicians spent more time (p<0.001) and had lower confidence (p=0.02) on SDF+ than SDF- cases (p<0.001). However, when diagnosing SDF+ cases, the groups did not differ in time (p=0.88) nor in confidence (p=0.96). Conclusions: Physicians apparently adopted a more analytical reasoning approach when presented with distracting features, indicated by increased time and lower confidence, trying to combat bias. Yet, extended deliberation alone did not explain the observed performance differences between knowledge groups. Success in mitigating anchoring bias was primarily predicted by knowledge of discriminating features of diagnoses. © Author(s) (or their employer(s)) 2024. No commercial re-use. See rights and permissions. Published by BMJ.",2024,Yes,6 clinical vignettes (with vs without salient distracting features),Confidence in diagnosis,No (manipulated redundant information),No,No,No,No,No,No,Internal Medicine,Yes - split into low and high knowledge groups based on pre assessment,,No,68,,Confidence with Experience,,"Low knowledge group more susceptible to anchoring on distracting salient features, but little difference between groups in confidence"
"Crowley, R. S.; Legowski, E.; Medvedeva, O.; Reitmeyer, K.; Tseytlin, E.; Castine, M.; Jukic, D.; Mello-Thoms, C.",Automated detection of heuristics and biases among pathologists in a computer-based system,Advances in Health Sciences Education,"The purpose of this study is threefold: (1) to develop an automated, computer-based method to detect heuristics and biases as pathologists examine virtual slide cases, (2) to measure the frequency and distribution of heuristics and errors across three levels of training, and (3) to examine relationships of heuristics to biases, and biases to diagnostic errors. The authors conducted the study using a computer-based system to view and diagnose virtual slide cases. The software recorded participant responses throughout the diagnostic process, and automatically classified participant actions based on definitions of eight common heuristics and/or biases. The authors measured frequency of heuristic use and bias across three levels of training. Biases studied were detected at varying frequencies, with availability and search satisficing observed most frequently. There were few significant differences by level of training. For representativeness and anchoring, the heuristic was used appropriately as often or more often than it was used in biased judgment. Approximately half of the diagnostic errors were associated with one or more biases. We conclude that heuristic use and biases were observed among physicians at all levels of training using the virtual slide system, although their frequencies varied. The system can be employed to detect heuristic use and to test methods for decreasing diagnostic errors resulting from cognitive biases. © 2012 The Author(s).",2013,No,Dermatoligical slides,Scale from -1 to +1,Yes,No,Yes,No,Yes (levels of training),Yes,Yes (rated),Pathology / Dermatology,No,,Yes,71,,Confidence with Experience,,"Detection of heuristic and biases across experience levels, search satisfying"
"Hausmann, D.; Kiesel, V.; Zimmerli, L.; Schlatter, N.; von Gunten, A.; Wattinger, N.; Rosemann, T.",Sensitivity for multimorbidity: The role of diagnostic uncertainty of physicians when evaluating multimorbid video case-based vignettes,PLoS ONE,"Background Multimorbidity can be defined as the co-occurrence of two or more chronic medical conditions in one person. Within the diagnostic process, accurately detecting a multimorbid disease pattern still poses a major challenge for most physicians, and is known as a source of diagnostic uncertainty. Objective We investigated, how sensitive, confident, and accurate physicians are in diagnosing multimorbid versus monomorbid patients. Methods We created eight video case-based vignettes, which differed in type of morbidity (multimorbid versus monomorbid), field of medical specialization (somatic versus mental), and relatedness of underlying diseases (causally related versus unrelated). In total, 74 physicians (GPs, residents in an emergency department and psychiatrists) watched three to five randomly allocated video cases and had to generate suspected diagnoses at the end of each of three video sequences. Additionally, participating physicians rated subjective confidence for all mentioned diagnoses and for three sequences per case with the help of confidence profiles. Results Altogether, physicians made a large number of accurate diagnoses (69%). Nevertheless, the overall number of underdiagnosed multimorbid cases (misses) was significantly higher (71%) than over-diagnosed monomorbid cases (false alarms) (7%). Discussion According to Signal Detection Theory, GPs and psychiatrists both showed lower detection performance for medical cases that lay beyond their own field of specialization. Remarkably, residents show the highest sensitivity for multimorbid cases with an approximately identically detection performance d’ slightly over 1 for both field of medical specialization (somatic and mental). Furthermore, higher uncertainty in diagnosing multimorbid cases is related to lower confidence especially at the beginning of a diagnostic process, as well as to unrelated and therefore probably rare disease pattern. Several limitations of the study and the video case-based vignettes are described within the discussion section. Conclusions Physicians have to be sensitized for multimorbidity even more, and have to be taught in the prevalence of existing disease combinations. Communicating uncertainty with other specialists could be helpful when faced with a sometimes “fuzzy” pattern of symptoms. © 2019 Hausmann et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2019,Yes,Video vignettes,0-100% scale confidence in diagnosis,Yes,No,No,No,No,Yes (key DV),Yes (monomorbid vs multimorbid),General Practice / Emergency Medicine,No,,No,74,,Case Complexity Factors,,"Cases with multiple comorbidities were under rather than over diagnosed, lower confidence with greater comorbidity"
"Krupat, Edward; Wormwood, Jolie; Schwartzstein, Richard M; Richards, Jeremy B",Avoiding premature closure and reaching diagnostic accuracy: some key predictive factors,Medical Education,"The goal of this study was to identify factors associated with the ability to process information in ways that overcome premature closure and result in accurate diagnosis using a set of vignettes in which inconsistent information was introduced midway. There were no significant differences in diagnostic accuracy across the three groups, each of which differed in level of training. However, across experience levels, diagnostic accuracy was associated with the mean number of items in the differential, tendency to persist (e.g. to request a greater number of rounds of information), and openness to switch (e.g. to change the most likely diagnosis on receipt of disconfirming information).",2017,Yes,4 complex vignettes,1-100 scale of certainty,Yes,No,No,Yes,"Yes (students, residents, faculty)",Yes,No,Internal Medicine,No,,Yes,75,,Confidence with Experience,,Accuracy not related to experience but to willingness to switch and persistence (requesting more information)
"Albrechtsen, S.S.; Riis, R.G.C.; Amiri, M.; Tanum, G.; Bergdal, O.; Blaabjerg, M.; Simonsen, C.Z.; Kondziella, D.",Impact of MRI on decision-making in ICU patients with disorders of consciousness,Behavioural Brain Research,"Background: Recovery of consciousness is the most important survival factor in patients with acute brain injury and disorders of consciousness (DoC). Since most deaths in the intensive care unit (ICU) occur after withdrawal of life-support, medical decision-making is crucial for acute DoC patients. Neuroimaging informs decision-making, yet the precise effects of MRI on decision-making in the ICU are poorly understood. We investigated the impact of brain MRI on prognostication, therapeutic decisions and physician confidence in ICU patients with DoC. Methods: In this simulated decision-making study utilizing a prospective ICU cohort, a panel of neurocritical experts first reviewed clinical information (without MRI) from 75 acute DoC patients and made decisions about diagnosis, prognosis and treatment. Following review of the MRI, the panel then decided if the initial decisions needed revision. In parallel, a blinded neuroradiologist reassessed all neuroimaging. Results: MRI led to changes in clinical management of 57 (76%) of patients (Number-Needed-to-Test for any change: 1.32), including revised diagnoses (20%), levels of care (21%), diagnostic confidence (43%) and prognostications (33%). Decisions were revised more often with stroke than with other brain injuries (p = 0.02). However, although MRI revealed additional pathology in 81%, this did not predict revised clinical decision-making (p-values ≥0.08). Conclusion: MRI results changed decision-making in 3 of 4 ICU patients, but radiological findings were not predictive of clinical decision-making. This highlights the need to better understand the effects of neuroimaging on management decisions. How MRI influences decision-making in the ICU is an important avenue for research to improve acute DoC management. © 2022",2022,No,Real patient cases in ICU,5 point likert scale,Yes,"No, dynamic",No,No,No,No,No (not explicitly),ICU,No,,No,75,,Imaging Increasing Confidence,,"After viewing MRI (as opposed to just clinical information), led to revised diagnoses and increased confidence"
"van Sassen, C.; Mamede, S.; Bos, M.; van den Broek, W.; Bindels, P.; Zwaan, L.",Do malpractice claim clinical case vignettes enhance diagnostic accuracy and acceptance in clinical reasoning education during GP training?,BMC Medical Education,"Background: Using malpractice claims cases as vignettes is a promising approach for improving clinical reasoning education (CRE), as malpractice claims can provide a variety of content- and context-rich examples. However, the effect on learning of adding information about a malpractice claim, which may evoke a deeper emotional response, is not yet clear. This study examined whether knowing that a diagnostic error resulted in a malpractice claim affects diagnostic accuracy and self-reported confidence in the diagnosis of future cases. Moreover, suitability of using erroneous cases with and without a malpractice claim for CRE, as judged by participants, was evaluated. Methods: In the first session of this two-phased, within-subjects experiment, 81 first-year residents of general practice (GP) were exposed to both erroneous cases with (M) and erroneous cases without (NM) malpractice claim information, derived from a malpractice claims database. Participants rated suitability of the cases for CRE on a five-point Likert scale. In the second session, one week later, participants solved four different cases with the same diagnoses. Diagnostic accuracy was measured with three questions, scored on a 0–1 scale: (1) What is your next step? (2) What is your differential diagnosis? (3) What is your most probable diagnosis and what is your level of certainty on this? Both subjective suitability and diagnostic accuracy scores were compared between the versions (M and NM) using repeated measures ANOVA. Results: There were no differences in diagnostic accuracy parameters (M vs. NM next step: 0.79 vs. 0.77, p = 0.505; differential diagnosis 0.68 vs. 0.75, p = 0.072; most probable diagnosis 0.52 vs. 0.57, p = 0.216) and self-reported confidence (53.7% vs. 55.8% p = 0.390) of diagnoses previously seen with or without malpractice claim information. Subjective suitability- and complexity scores for the two versions were similar (suitability: 3.68 vs. 3.84, p = 0.568; complexity 3.71 vs. 3.88, p = 0.218) and significantly increased for higher education levels for both versions. Conclusion: The similar diagnostic accuracy rates between cases studied with or without malpractice claim information suggests both versions are equally effective for CRE in GP training. Residents judged both case versions to be similarly suitable for CRE; both were considered more suitable for advanced than for novice learners. © 2023, The Author(s).",2023,Yes,Cases with and without malpractice claim information,0-100 confidence,Yes,No,No,No,No,Yes (probable and differential diagnosis),No,General Practice,No,,No,81,,Differential Information Intervention,,No difference in accuracy or confidence with or without malpractice claims.
"Sanger, P. C.; Simianu, V. V.; Gaskill, C. E.; Armstrong, C. A. L.; Hartzler, A. L.; Lordon, R. J.; Lober, W. B.; Evans, H. L.",Diagnosing surgical site infection using wound photography: a scenario-based study.,Journal of the American College of Surgeons,"Background: Postoperative surgical site infections (SSI) are common and costly. Most occur post discharge, and can result in potentially preventable readmission or unnecessary urgent evaluation. Mobile health approaches incorporating patient-generated wound photos are being implemented in an attempt to optimize triage and management. We assessed how adding wound photos to existing data sources modifies provider decision making. Study Design: We used a web-based simulation survey using a convenience sample of providers with expertise in surgical infections. Participants viewed a range of scenarios, including surgical history, physical exam, and description of wound appearance. All participants reported SSI diagnosis, diagnostic confidence, and management recommendations (main outcomes) first without, and then with, accompanying wound photos. At each step, participants ranked the most important features contributing to their decision. Results: Eighty-three participants completed a median of 5 scenarios (interquartile range 4 to 7). Most participants were physicians in academic surgical specialties (n=70 [84%]). The addition of photos improved overall diagnostic accuracy from 67% to 76% (p<0.001), and increased specificity from 77% to 92% (p<0.001), but did not significantly increase sensitivity (55% to 65%; p=0.16). Photos increased mean confidence in diagnosis from 5.9 of 10 to 7.4 of 10 (p<0.001). Overtreatment recommendations decreased from 48% to 16% (p<0.001), and undertreatment did not change (28% to 23%; p=0.20) with the addition of photos. Conclusions: The addition of wound photos to existing data as available via chart review and telephone consultation with patients significantly improved diagnostic accuracy and confidence, and prevented proposed overtreatment in scenarios without SSI. Post-discharge mobile health technologies have the potential to facilitate patient-centered care, decrease costs, and improve clinical outcomes.",2017,Yes,5 online scenarios,Confidence in diagnosis (1-10),Yes,No,No,No,No,No,Yes (ambiguous or unambiguous),Members of Surgical Infection Society,No,,No,83,,Imaging Increasing Confidence,,Photos of wounds imrpvoed accuracy and confidence and reduced overtreatment
"Hageman, M. G. J. S.; Bossen, J. K. J.; King, J. D.; Ring, D.",Surgeon confidence in an outpatient setting,Hand,"Background: We have the impression that provider uncertainty arises from either nonspecific pathology or disproportionate symptoms and disability, both of which correlate with symptoms of depression, heightened illness concern, and low patient self-efficacy. This study tested the primary null hypothesis that there is no correlation between provider confidence and patient self-efficacy. Methods: Eighty-five patients visiting an orthopedic hand and upper extremity surgeon completed the Pain Self-Efficacy Questionnaire (PSEQ). The surgeon's confidence in the diagnosis, optimal treatment, expected outcome, and the anticipated satisfaction of the patient and the referring doctor were measured with five questions rated on 5-point Likert scales (Physician Confidence Scale). Results: Overall physician confidence was high and there was no correlation between the PSEQ score and the Physician Confidence Scale. Provider confidence was significantly lower for nonspecific diagnoses, but there was no significant difference between the mean PSEQ for the 72 patients with a specific diagnosis and the 12 patients with nonspecific diagnoses. Conclusions: Physician confidence did not relate with self-efficacy in this study. Level of Evidence: Prognostic, level II © 2013 American Association for Hand Surgery.",2013,No,Real patients visiting surgery,5 point likert scale,No,"No, dynamic",No,No,No,No (but assess specificity),No,Surgery,Yes (pain self-efficacy questionnaire),,No,84,,Case Complexity Factors,Also calibration,"Confidence lower for non-specific diagnoses, confidence did not relate to self-efficacy"
"Nederhand, M. L.; Tabbers, H. K.; Splinter, T. A. W.; Rikers, R. M. J. P.",The Effect of Performance Standards and Medical Experience on Diagnostic Calibration Accuracy,Health Professions Education,"Purpose: Medical doctors do not always calibrate accurately in terms of their diagnostic performance, which means that their evaluation of their diagnosis differs from their actual performance. Inaccurate calibration can lead to maltreatment and increased health care costs. This study was conducted to investigate whether calibration accuracy can be improved among both board certified medical specialists and medical students by providing them with a simple form of feedback (i.e., performance standards). We expected that performance standards would enhance calibration accuracy. Furthermore, we expected that medical specialists would overall be better calibrated than medical students. Methods: Medical specialists (n=42) and medical students (n=43) diagnosed three clinical cases and rated their own performance, after which they did or did not receive standards (i.e., the correct diagnoses). All participants were then tested: they had to diagnose three new cases and had to rate their performance without receiving diagnostic feedback Results: In support of our hypotheses, findings indicate that both students and specialists who received performance standards calibrated better than students and specialists who did not receive standards. Furthermore, medical specialists calibrated better than medical students. Discussion: This study shows that providing simple forms of feedback constitute effects on calibration accuracy on new tasks. © 2018 King Saud bin Abdulaziz University for Health Sciences",2018,Yes,6 clinical cases,Confidence in diagnosis (1-10),Yes (except feedback),No,No,Yes,Yes (students and specialists),No,No,General Medicine,No,,Yes,85,,Calibration,Also experience,"Receiving feedback were better calibrated on subsequent cases, specialists better calibrated than students"
"Garbayo, Luciana S.; Harris, David M.; Fiore, Stephen M.; Robinson, Matthew; Kibble, Jonathan D.",A metacognitive confidence calibration (MCC) tool to help medical students scaffold diagnostic reasoning in decision-making during high-fidelity patient simulations,Advances in Physiology Education,"The purpose of this study was to 1) help novice students scaffold problem-solving and engage safely in the deliberate practice of diagnostic reasoning and medical decision-making in real time; 2) assess how accurately students gather and apply data in medical reasoning and treatment during high-ﬁdelity patient simulations (HFPSs); 3) identify students’ scientiﬁc misconceptions related to the case; 4) promote student metacognitive processing, self-assessment, and self-efﬁcacy; and 5) facilitate the explicit calibration of student conﬁdence in deliberate reasoning with patient outcomes. In a mixed-method design, a metacognitive calibration selfassessing (MCC) survey tool was applied to HFPS (n = 80, 20 teams of 6 medical students) and semistructured interviews were conducted with faculty (n = 5). When scored by faculty with a rubric, the mean student accuracy ranged from 23% to 74%, whereas their self-assessment of conﬁdence ranged from 71% to 86%. This result revealed overconﬁdence bias in novice students regarding the correctness of their wrong responses. The most common misconception identiﬁed was inverting cause and effect: metabolic acidosis was pointed to as the cause of the patient’s problems rather than a consequence of untreated diabetes mellitus. The most common treatment error was overtreatment, with unnecessary added medication. Interviews with faculty suggested that the MCC tool improved the team process by slowing students down, requiring them to think through their answers, and that overall the tool improved their critical thinking. This study demonstrated the feasibility of using a metacognitive conﬁdence calibration tool to assist novice students in learning safely to make deliberate diagnostic reasoning and decisions on patient care in real time during complex simulations while observing objectively their levels of psychological conﬁdence against patient outcomes.",2023,No,"High Fidelity Sim (Cases: Heart Failure, Respiratory Distress, DKA, heat exhaustion)",7 point likert scale of confidence,No,"No, Dynamic",No,No,No,No,No,Medical Students,No,80 students + 8 faculty,Yes,88,Acute,Decision Support / Cognitive Intervention,Also downstream,"Accuracy (graded by experts) showed overconfidence, evidence of overtreatment (unnecessary medications), calibration imporved by calibration tool MCC"
"Hautz, W. E.; Kämmer, J. E.; Schauber, S. K.; Spies, C. D.; Gaissmaier, W.",Diagnostic performance by medical students working individually or in teams,JAMA - Journal of the American Medical Association,"Diagnostic errors contribute substantially to preventable medical error.1 Cognitive error is among the leading causes and mostly results from faulty data synthesis.2 Furthermore, reflecting on their confidence does not prevent physicians from committing diagnostic errors.1 Diagnostic decisions usually are not made by individual physicians working alone. Our aim was to investigate the effect of working in pairs as opposed to alone on diagnostic performance.",2015,Yes,6 simulated cases of respiratory distress,1-10 Confidence,Yes,No,Yes,No,No,No (but chosen from a list),no,Medical Students,No,,No,88,,Calibration,Groups vs individual,"Pairs sought more relevant information than individuals, pairs more confidence"
"Li, S.; Zheng, J.; Lajoie, S. P.",The relationship between cognitive engagement and students’ performance in a simulation-based training environment: an information-processing perspective,Interactive Learning Environments,"In this paper, we adopted an information-processing perspective to examine the relationship between cognitive engagement and students’ performance in a simulation-based training environment. In particular, we examined what forms of cognitive engagement students used while diagnosing virtual patients and whether engagement forms predicted students’ diagnostic confidence and efficacy. A total of 88 medical students from a large North American university voluntarily participated in this study. We used latent profile analysis (LPA), a person-centered statistical method, to identify groups of students with similar information processing patterns. Findings from this study revealed that students displayed various forms of cognitive engagement, i.e. recipience, resource management, and task-focused. Moreover, we found that group difference in diagnostic confidence was moderated by task complexity. In terms of diagnostic efficacy, students who were task-focused or resource managers did better than the recipience students. The findings advance our understanding of theories of cognitive engagement as well as inform the design of effective interventions in developing simulation-based learning environments. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",2020,Yes,Two patient cases shown,0-100% scale confidence in diagnosis,No,No,Yes,No,No,Yes,Yes,Medical Students,No,,No,88,,Case Complexity Factors,,"Confidence modulated by difficulty, certain profiles performed better (using latent profile analysis)"
"Kämmer, Juliane E.; Schauber, Stefan K.; Hautz, Stefanie C.; Stroben, Fabian; Hautz, Wolf E.",Differential diagnosis checklists reduce diagnostic error differentially: A randomised experiment,Medical Education,"Introduction: Wrong and missed diagnoses contribute substantially to medical error. Can a prompt to generate alternative diagnoses (prompt) or a differential diagnosis checklist (DDXC) increase diagnostic accuracy? How do these interventions affect the diagnostic process and self-monitoring? Methods: Advanced medical students (N = 90) were randomly assigned to one of four conditions to complete six computer-based patient cases: group 1 (prompt) was instructed to write down all diagnoses they considered while acquiring diagnostic test results and to finally rank them. Groups 2 and 3 received the same instruction plus a list of 17 differential diagnoses for the chief complaint of the patient. For half of the cases, the DDXC contained the correct diagnosis (DDXC+), and for the other half, it did not (DDXCÀ; counterbalanced). Group 4 (control) was only instructed to indicate their final diagnosis. Mixed-effects models were used to analyse results.",2021,Yes,6 clinical scenarios,10 point scale of confidence,No,No,Yes,No,Yes,Yes,No,Medical Students / Emergency Medicien,No,,No,90,,Differential Information Intervention,Differential diagnosis list,"Confidence increased with differential diagnosis list even if not always more accurate, confidence correlated with information seeking"
"Yang, H.; Thompson, C.; Bland, M.",Effect of improving the realism of simulated clinical judgement tasks on nurses' overconfidence and underconfidence: Evidence from a comparative confidence calibration analysis,International Journal of Nursing Studies,"Background: Apparent overconfidence and underconfidence in clinicians making clinical judgements could be a feature of evaluative research designs that fail to accurately represent clinical environments. Objectives: To test the effect of improved realism of clinical judgement tasks on confidence calibration performance of nurses and student nurses. Design: A comparative confidence calibration analysis. Settings: The study was conducted in a large university of Northern England. Methods: Ninety-seven participants rated their confidence - using a scale that ranged from 0 (no confidence) to 100 (totally confident) on dichotomous clinical judgements of critical event risk. The judgements were in response to 25 paper-based and 25 higher fidelity scenarios using a computerised patient simulator and clinical equipment. Scenarios, and judgement criteria of 'correctness', were generated from real patient cases. Using a series of calibration measures (calibration, resolution and over/underconfidence), participants' confidence was calibrated against the proportion of correct judgements. The calibration measures generated by the paper-based and high fidelity clinical simulation conditions were compared. Results: Participants made significantly less accurate clinical judgements of risk in the high fidelity clinical simulations compared to the paper simulations (P=0.0002). They were significantly less confident in high fidelity clinical simulations than paper simulations (P=0.03). However, there was no significant difference of over/underconfidence for participants between the two simulated settings (P=0.06). Participants were no better calibrated in the high fidelity clinical simulations than paper simulations, P=0.85. Likewise, participants had no better ability of discriminating correct judgements from incorrect judgements as measured by the resolution statistic in high fidelity clinical simulations than paper simulations, P=0.76. Conclusions: Improving the realism of simulated judgement tasks led to reduced confidence and judgement accuracy in participants but did not alter confidence calibration. These findings suggest that judgemental miscalibration of confidence in nurses may be a systematic cognitive bias and that simply making scenarios more realistic may not be a sufficient condition for correction. © 2012 Elsevier Ltd.",2012,Yes,Both paper and high fidelity sim scenarios,0-100 confidence,Yes,No,No,Yes,Yes (nurses and student nurses),No,No,Nursing,No,,Yes,97,,Calibration,,"Less accurate and less confident in high-fidelity than on paper, not better calibrated"
"Kuhn, J.; van den Berg, P.; Mamede, S.; Zwaan, L.; Bindels, P.; van Gog, T.",Improving medical residents’ self-assessment of their diagnostic accuracy: does feedback help?,Advances in Health Sciences Education,"When physicians do not estimate their diagnostic accuracy correctly, i.e. show inaccurate diagnostic calibration, diagnostic errors or overtesting can occur. A previous study showed that physicians’ diagnostic calibration for easy cases improved, after they received feedback on their previous diagnoses. We investigated whether diagnostic calibration would also improve from this feedback when cases were more difficult. Sixty-nine general-practice residents were randomly assigned to one of two conditions. In the feedback condition, they diagnosed a case, rated their confidence in their diagnosis, their invested mental effort, and case complexity, and then were shown the correct diagnosis (feedback). This was repeated for 12 cases. Participants in the control condition did the same without receiving feedback. We analysed calibration in terms of (1) absolute accuracy (absolute difference between diagnostic accuracy and confidence), and (2) bias (confidence minus diagnostic calibration). There was no difference between the conditions in the measurements of calibration (absolute accuracy, p =.204; bias, p =.176). Post-hoc analyses showed that on correctly diagnosed cases (on which participants are either accurate or underconfident), calibration in the feedback condition was less accurate than in the control condition, p =.013. This study shows that feedback on diagnostic performance did not improve physicians’ calibration for more difficult cases. One explanation could be that participants were confronted with their mistakes and thereafter lowered their confidence ratings even if cases were diagnosed correctly. This shows how difficult it is to improve diagnostic calibration, which is important to prevent diagnostic errors or maltreatment. © 2021, The Author(s).",2022,Yes,12 cases,1-9 confidence,Yes,No,No,No,No,No,Yes,General Practice,No,,No,97,,Calibration,,"Calibration not significantly when receiving feedback on diagnostic accuracy vs no feedback on difficult cases, less calibration for corrects with feedback"
"Yang, Huiqin; Thompson, Carl; Bland, Martin","The effect of clinical experience, judgment task difficulty and time pressure on nurses’ confidence calibration in a high fidelity clinical simulation",BMC Medical Informatics and Decision Making,"Background: Misplaced or poorly calibrated confidence in healthcare professionals’ judgments compromises the quality of health care. Using higher fidelity clinical simulations to elicit clinicians’ confidence 'calibration' (i.e. overconfidence or underconfidence) in more realistic settings is a promising but underutilized tactic. In this study we examine nurses’ calibration of confidence with judgment accuracy for critical event risk assessment judgments in a high fidelity simulated clinical environment. The study also explores the effects of clinical experience, task difficulty and time pressure on the relationship between confidence and accuracy.     Methods: 63 student and 34 experienced nurses made dichotomous risk assessments on 25 scenarios simulated in a high fidelity clinical environment. Each nurse also assigned a score (0–100) reflecting the level of confidence in their judgments. Scenarios were derived from real patient cases and classified as easy or difficult judgment tasks. Nurses made half of their judgments under time pressure. Confidence calibration statistics were calculated and calibration curves generated.     Results: Nurse students were underconfident (mean over/underconfidence score _1.05) and experienced nurses overconfident (mean over/underconfidence score 6.56), P = 0.01. No significant differences in calibration and resolution were found between the two groups (P = 0.80 and P = 0.51, respectively). There was a significant interaction between time pressure and task difficulty on confidence (P = 0.008); time pressure increased confidence in easy cases but reduced confidence in difficult cases. Time pressure had no effect on confidence or accuracy. Judgment task difficulty impacted significantly on nurses’ judgmental accuracy and confidence. A 'hard-easy' effect was observed: nurses were overconfident in difficult judgments and underconfident in easy judgments.     Conclusion: Nurses were poorly calibrated when making risk assessment judgments in a high fidelity simulated setting. Nurses with more experience tended toward overconfidence. Whilst time pressure had little effect on calibration, nurses’ over/underconfidence varied significantly with the degree of task difficulty. More research is required to identify strategies to minimize such cognitive biases.",2012,No,High Fidelity Sim,0-100 confidence,Yes,No,No,Yes,Yes,No,Yes,Nursing,Yes (experience level),,Yes,97,,Confidence with Experience,Contextual factors,"Nurse students underconfident, experienced nurses overconfident, time pressure and difficulty interacted with respect to confidence (time pressure increased confidence on easy cases)"
"Kuhn, J.; Mamede, S.; van den Berg, P.; Zwaan, L.; van Peet, P.; Bindels, P.; van Gog, T.",Learning deliberate reflection in medical diagnosis: does learning-by-teaching help?,Advances in Health Sciences Education,"Deliberate reflection has been found to foster diagnostic accuracy on complex cases or under circumstances that tend to induce cognitive bias. However, it is unclear whether the procedure can also be learned and thereby autonomously applied when diagnosing future cases without instructions to reflect. We investigated whether general practice residents would learn the deliberate reflection procedure through ‘learning-by-teaching’ and apply it to diagnose new cases. The study was a two-phase experiment. In the learning phase, 56 general-practice residents were randomly assigned to one of two conditions. They either (1) studied examples of deliberate reflection and then explained the procedure to a fictitious peer on video; or (2) solved cases without reflection (control). In the test phase, one to three weeks later, all participants diagnosed new cases while thinking aloud. The analysis of the test phase showed no significant differences between the conditions on any of the outcome measures (diagnostic accuracy, p =.263; time to diagnose, p =.598; mental effort ratings, p =.544; confidence ratings, p =.710; proportion of contradiction units (i.e. measure of deliberate reflection), p =.544). In contrast to findings on learning-by-teaching from other domains, teaching deliberate reflection to a fictitious peer, did not increase reflective reasoning when diagnosing future cases. Potential explanations that future research might address are that either residents in the experimental condition did not apply the learned deliberate reflection procedure in the test phase, or residents in the control condition also engaged in reflection. © 2022, The Author(s).",2023,Yes,10 written cases,1-9 confidence,No,No,No,No,No,No,No,General Practice,No,,No,99,,Decision Support / Cognitive Intervention,,Participants who received training via fictionalised videos on deliberate reflection did not change confidence or accuracy
